Decision,GPA,ACT,SAT II,Gender,Ethnicity,Essay,Recommendation,School Type,Region
0,3.86,35,800,0,0,8.1,8.7,1,1
0,3.813,34,749,1,2,8.8,9.2,0,2
0,3.9,36,773,0,0,8,10,1,4
0,3.8,36,800,0,-1,8.8,9.8,1,3
0,3.95,36,800,1,0,8,7.6,0,1
0,3.99,35,775,0,0,9.1,9.1,0,2
0,4,36,783,0,-1,9,9,0,3
1,4,35,750,1,0,8,8.2,0,2
1,3.7,35,752,1,2,8.5,8,1,3
1,3.93,34,765,0,0,8.3,8.4,0,3
1,4,34,790,0,1,8,7.5,0,4
1,3.9,34,690,0,0,9.5,8.8,0,3
1,4,34,750,0,0,9,9.2,0,2
0,3.51,34,670,1,2,6.9,7.6,0,3
0,3.97,34,750,0,-1,8.5,7.3,0,4
1,3.6,36,765,0,-1,8.5,7.2,0,1
1,3.9,34,790,1,2,8.9,9.5,0,2
0,4,34,657,0,0,8.7,8,0,4
0,4,36,770,1,1,8,8.7,1,3
0,4,35,785,1,0,8,8.2,0,2
0,3.76,33,753,1,1,7.9,7.4,0,3
0,3.76,33,753,1,1,8.1,7.4,0,3
0,4,35,793,1,0,7.3,7,1,2
1,3.88,36,796,0,0,8.5,8.5,1,1
0,4,35,795,1,-1,7.3,9,0,4
1,3.9,35,750,1,-1,7,7.1,0,0
0,3.84,33,710,0,1,7,8.5,1,0
1,4,36,773,1,0,8.2,8,0,2
1,4,34,665,1,0,8,10,0,1
0,4,33,800,0,0,2,9,0,4
0,4,32,710,0,0,8.6,8,0,3
0,4,36,792,0,0,7.7,9,1,3
0,4,31,640,1,1,8,7,0,4
0,4,32,711,0,0,9,9.2,0,1
0,3.97,36,795,0,-1,8,8,0,4
0,4,33,680,1,0,7.3,7.5,0,1
0,3.93,33,733,1,0,8.2,9.5,0,4
0,3.98,36,790,0,-1,8,7,0,4
0,3.92,36,780,0,-1,8,7,1,4
0,4,34,750,1,-1,9,8.5,0,2
0,3.98,35,800,0,-1,9.5,9,0,2
1,4,34,800,0,0,8,8,0,1
1,4,35,770,1,2,8.5,8.2,0,0
1,4,36,793,0,0,7.9,8.4,0,3
1,3.89,36,773,1,-1,7,6.8,0,1
1,4,35,760,1,-1,8.3,7.8,0,1
0,4,36,796,0,-1,8.9,8.2,0,3
1,3.96,35,800,1,0,10,9.8,1,0
1,3.89,31,650,0,-1,9,8.7,0,4
1,4,32,711,0,0,10,9,0,0
0,4,34,767,0,-1,8.4,9.1,0,4
1,4,36,660,1,2,8.6,8.5,0,4
0,4,30,740,1,1,7,7.8,0,4
1,3.981,33,780,0,-1,8.3,9.5,0,2
1,4,36,800,1,-1,8.2,8.5,0,3
1,4,34,780,1,0,8,8,0,4
0,4,34,696,1,0,8.1,7.8,0,4
0,3.97,34,800,0,0,8,9.3,0,4
0,4,35,783,0,-1,8,7.8,0,3
0,3.97,36,787,0,-1,6,8.9,0,4
0,4,36,800,0,2,5.7,9,0,3
0,3.97,33,735,0,-1,7.8,8,0,4
1,4,35,785,1,0,8.2,9,0,4
0,4,36,793,1,0,8,10,0,3
1,3.9,35,767,1,-1,8.2,7.8,0,0
0,4,36,800,0,-1,8,8,0,0
1,3.97,34,780,0,-1,9,8,1,3
0,3.973,33,750,1,0,9,9,0,4
1,4,33,705,1,1,8.8,8,0,4
1,4,34,775,0,-1,7.5,8.8,1,4
1,4,35,793,0,0,8.2,8,0,4
1,4,36,800,1,1,9.4,10,0,3
0,4,33,780,0,-1,6,8,0,4
0,3.76,36,770,0,-1,8.8,9.2,1,4
1,3.98,35,755,1,-1,9,8.8,0,4
1,3.98,35,745,1,2,10,8,0,4
0,4,36,800,0,0,7,7.5,0,3
0,3.7,34,660,1,0,9,9.5,0,0
1,4,33,740,0,-1,9.2,9.7,0,0
0,3.88,36,780,0,1,9,9.2,0,4
1,4,36,800,1,-1,8,7.6,0,4
1,3.93,33,730,1,1,9.8,9.8,1,4
0,4,35,780,1,-1,9,8.5,0,4
0,4,36,800,0,-1,6,7.8,0,2
0,4,35,785,1,0,9,9,0,4
1,4,36,779,0,-1,8.6,8.8,0,0
0,4,36,780,1,-1,9.5,10,0,1
0,4,35,800,0,-1,7,8.5,0,1
0,4,36,779,1,0,8,7,0,4
1,3.97,35,800,0,1,10,10,0,4
0,3.95,34,715,0,0,8.8,10,1,3
0,3.89,33,735,0,2,9,9.8,1,3
1,4,36,760,0,2,7,9,0,3
1,4,33,760,1,1,9,6.7,0,4
1,4,35,770,1,-1,0,9.2,0,3
0,3.91,34,751,0,0,8,9.4,0,4
1,4,32,685,1,1,9,8.8,0,3
1,4,36,765,0,-1,9,10,0,4
1,3.95,35,770,0,0,10,8.5,0,4
1,4,33,770,0,0,5,6.8,0,4
0,4,35,733,1,0,9,8.2,0,4
1,4,36,765,1,1,10,9.7,0,4
0,4,32,625,1,0,8.9,10,1,3
1,3.7,32,780,0,0,9.5,8.4,0,3
1,4,31,694,1,-1,8.4,8.7,0,2
0,4,34,800,0,-1,8.5,8.2,1,4
1,4,36,756,0,1,8.5,9.5,0,2
0,3.7,34,700,1,-1,9,10,1,4
0,3.9,36,783,0,0,9,9.6,1,0
1,3.97,35,770,0,0,8.5,9.5,1,3
0,4,36,740,1,0,9.7,9.7,0,1
1,3.86,35,800,0,-1,8,9,0,1
0,4,36,776,1,-1,9,7.5,0,2
1,3.89,34,752,0,2,8.7,9.4,0,1
0,3.87,35,740,1,-1,6.3,9.7,0,1
1,4,35,770,1,-1,8.8,9.8,0,3
0,4,34,716,0,-1,8.5,9,0,4
1,3.71,34,765,0,2,10,7.3,0,4
0,4,35,780,1,0,9.2,10,0,1
1,3.94,35,790,0,0,7,9.3,0,1
1,3.99,36,800,0,-1,7.8,8,0,0
0,4,33,730,0,1,8.5,8.6,1,3
0,3.89,34,665,1,0,7,8.8,1,4
1,3.91,34,740,1,0,8.3,9.5,0,4
0,3.97,35,790,0,-1,8.4,10,0,4
0,4,30,705,1,0,9.5,10,0,3
0,4,36,770,1,-1,8,10,0,3
1,3.96,34,785,0,-1,7.5,9.5,0,1
0,4,35,800,0,-1,8.2,9.5,0,0
0,4,35,755,0,0,8.5,8.6,0,2
1,4,34,710,1,0,8.8,7.5,0,3
0,4,34,760,1,0,7.1,9,1,4
1,3.93,35,740,1,0,7,8,0,1
1,3.96,29,662,0,0,9.3,8.5,0,4
1,4,35,775,0,0,6.4,8.8,0,2
1,3.967,34,770,0,1,8.5,10,0,3
0,3.8,35,785,0,0,8.6,9.2,1,3
1,4,34,746,1,1,9.5,8.5,0,0
1,3.9,35,650,1,1,6.5,9.7,0,4
0,3.87,34,800,0,0,7.8,8,0,4
0,4,35,785,1,-1,8,8.2,0,4
0,4,36,770,1,0,7.5,7.9,0,1
1,4,36,792,1,-1,9,8.7,0,4
0,3.92,36,783,0,-1,7.8,8.2,0,0
1,3.98,35,790,0,0,8.2,7.5,0,3
1,3.99,36,750,1,0,10,9.3,1,4
0,4,36,785,0,-1,6.3,8.7,0,4
1,3.97,35,763,1,-1,9.4,9.8,0,4
1,3.9,36,716,0,1,8,7.2,0,1
0,3.95,33,725,0,0,8,8.7,0,3
1,4,36,782,0,0,7.5,7.9,0,4
1,4,36,790,1,-1,8.4,7,0,3
1,4,32,693,1,1,9.5,8.3,0,4
0,3.98,34,760,0,0,9.5,7,0,2
0,3.95,35,796,0,-1,8.2,7,0,4
