GPA,ACT,SAT II
0.53,28,435
0.44,29,440
0.56,27,452
0.55,28,420
0.54,27,416
0.49,29,425
0.54,30,427
0.53,27,458
0.64,28,429
0.6,27,461
0.63,27,452
0.76,30,445
0.73,28,450
0.76,29,454
0.73,28,468
0.74,29,442
0.72,28,445
0.81,30,439
0.75,30,464
0.74,29,459
0.81,29,453
0.91,30,445
0.76,30,473
0.8,27,463
0.83,31,458
0.8,28,476
0.81,28,474
0.9,30,466
0.83,31,450
0.92,28,482
1.05,28,458
0.97,31,490
1.02,30,477
1.08,29,458
1.05,30,487
1.03,31,493
1.07,31,475
1.09,30,497
1.11,32,467
1.17,31,493
1.02,30,468
1.15,30,486
1.18,30,504
1.24,32,490
1.16,31,485
1.2,31,505
1.25,31,480
1.2,31,481
1.17,31,476
1.35,29,514
1.21,32,479
1.33,29,481
1.38,31,481
1.26,33,505
1.34,32,504
1.4,32,523
1.4,32,490
1.43,32,518
1.35,30,496
1.49,30,500
1.44,33,516
1.38,32,529
1.53,31,519
1.46,30,504
1.52,31,535
1.57,31,499
1.46,33,516
1.52,33,509
1.61,31,515
1.47,31,535
1.49,31,534
1.58,31,506
1.57,31,518
1.69,31,530
1.56,32,536
1.75,33,540
1.61,30,516
1.7,33,515
1.77,32,536
1.77,31,549
1.64,31,535
1.71,32,544
1.76,33,558
1.71,34,532
1.76,33,549
1.88,34,550
1.86,31,542
1.83,31,529
1.75,32,552
1.88,34,557
1.85,31,532
1.92,34,552
1.95,33,557
1.95,34,569
1.91,34,569
1.93,32,574
1.94,33,539
1.94,34,575
2.0,33,556
1.93,35,570
2.08,33,575
2.15,32,558
2.06,33,572
2.13,34,556
2.08,35,572
2.18,33,583
2.06,35,589
2.05,33,589
2.25,32,584
2.12,34,568
2.1,34,573
2.17,34,564
2.31,36,563
2.25,32,579
2.31,34,583
2.29,36,579
2.19,34,565
2.23,33,599
2.21,33,569
2.23,34,569
2.25,35,598
2.36,35,605
2.38,34,605
2.48,36,610
2.33,33,606
2.35,35,581
2.34,36,591
2.54,35,582
2.44,33,602
2.42,34,583
2.41,36,591
2.46,37,604
2.46,36,596
2.63,34,602
2.56,37,608
2.55,37,630
2.6,34,595
2.6,37,597
2.61,37,626
2.61,36,620
2.62,34,622
2.66,35,630
2.61,34,615
2.66,35,620
2.77,35,614
2.64,35,619
2.75,37,623
2.82,34,645
2.85,37,629
2.88,35,633
